name,quantity,batchNumber,expiryDate,costPrice,totalCost,sellingPrice
Cream Liniment 50mls,5bots,DF5657,23-Aug,2400,12000,4000
Oracure gel,3,67690,23-Jan,12600,37800,15000
MCG cream,10Pieces, WHJY890,,3600,36000,6000
Glycerine of borax,5botds,G018,24-Mar,1400,7000,2000
Mosquito Repellant (odomos),5tubes,687659,23-Sep,2000,10000,3000
Sonatec mouthwash,2bots,210925,24-Mar,13000,26000,18000
Cream Sediproct,5tubes,678879,23-Aug,8000,40000,12000
Burncure cream 1%-25g,3tubes,686578,23-May,2000,6000,3000
Drops Grovit,5bots,6757,23-May,8000,24500,12000
Drops Normal saline nosedrops 0.9%-10ml,10bots,182084,24-Jul,2000,20000,3000
Ear drops Cerumol,3bots,56789,23-Jun,13500,40500,20000
Eye drops Betamethasone 0.10%(X-BETA),6 bottles,797869,23-Dec,1700,10200,3000
Eye drops probeta-N,10bottles,FW029F,22-Mar,3200,32000,5000
Eye drops Chloramphenicol 0.5%,5bottles,,530013,700,3500,2000
Eye drops Ciprofloxacin 0.30%,5bottles,W5667,87896,4500,23000,8000
Eye drops Genta,10bots,JD0003,22-Oct,10-Mar,25-Nov,2000
Gel Dicloday,10tubes,X5466,23-Dec,2300,23000,4000
Gel Relcer 60ml,5bots,6576789,25-Jan,4300,23000,7000
Gel Relcer 200ml,3bots,5657,23-Dec,7200,21600,10000
I.V Diclofenac 75mg/1ml(Dynapar),20amp,78uygh,23-Jul,1500,30000,2500
I.V Normal saline 0.9%(500ml), 24bots, 02H04221,24-Jul,1600,48000,3000
IV Genta ,20amp,S43656,24-Feb,600,12000,1000
Water for inj,50vials,3456,24-Feb,170,8500,500
Inhal Salbutamol inhaler 100mcg/dose,2,6789,24-Dec,5700,11400,9000
Inj Powder Ceftriaxone  1g,100vials,10121`086,23-Apr,1100,110000,3000
Inj Adrenaline 1mg/1ml,10amp,JD0003,22-Oct,1100,11000,2000
Inj Ampicillin 500mg,10, RTYI6890,,1000,10000,1500
Inj Artemether 80mg/1ml,30amp,556678,23-Oct,5300,159000,8000
Inj Artesunate 30mg,10doses,8905,24-Jan,3500,35000,6000
Inj Artesunate 60mg,20doses,46TY2,22-Dec,3500,35000,6000
Inj Benzathine Benzylpenicillin 2.4MU,10,HJK89,23-Aug,2000,20000,3500
Inj Benzylpenicillin 1MU,10,12ERW,23-Aug,1500,15000,3000
Inj Ceftriaxone (salbactamax) 1g,10vials,AWD7800,23-Jun,3500,35000,6000
Inj Dexamethasone 8mg/2ml,30vials,A345,23-Feb,1100,33000,2000
Inj Dextrose 5%(500ml),24bots,67590,23-Jun,1600,48000,3000
Inj Diazepam 10mg/2ml,10amp,567987,23-Jan,900,9000,1500
Inj Diclofenac 75mg/3ml,100amp,56767,22-Oct,600,60000,1500
Inj Frusemide 40mg/4ml,10amp,DR5467,23-Aug,600,6000,1500
Inj Gentamicin 80mg/2ml,100amp,210208,24-Feb,600,12000,1500
Inj Levofloxacin 500mg/100ml,5bots,BK281201,23-Mar,3200,16000,5000
Inj Lignocaine 2%(20ml),5,CM1012,24-Feb,1600,8000,3000
Inj Metoclopramide 10mg/2ml,10vials,X45467,22-Dec,1000,10000,1500
Inj Metronidazole 500mg/100ml,20bots,PIX21060/6,24-Jan,1400,28000,3000
Inj Normal saline 0.9%(500ml), 24bots,02H04221,23-Feb,1600,20000,3000
Inj Quinine dihydrochloride 600mg/2ml,20, QWE5678,23-Feb,1500,30000,3000
Inj Ringers lactate 500ml,24,04E07121,24-Apr,1600,48000,3000
Inj Vitamin B complex 2ml,20vials,2220209,22-Nov,1500,30000,2500
Lotion Calamine 100ml,5bots,1650,23-Sep,2300,11500,4000
Ointment Tetracycline 1%-3.5g (eye),10tubes,4899,22-Dec,1500,,2500
Pess Clotrimazole 100mg,10doses,KIY877,24-Dec,2100,,4000
"Pess Nystatin 100,000 IU",10doses,68766,24-Mar,2100,21000,4000
Rectal paradenk,20supos,24538,23-Jul,900,1800,1500
Rectal Diclofenac 50mg,20supos,,,1000,20000,1500
Sol Hydrogen peroxide 200ml,5bots,3149-56,23-Jul,1700,17000,3000
Spray BBC SPRAY,3,567890,23-May,21500,64500,26000
Susp Albendazole 200mg/5ml,20,5452002,22-May,1700,34000,3000
Susp Artmether/Lumefatrine 60ml(ARTEFAN),10,PA04061,24-Feb,7500,75000,12000
Susp Cotrimoxazole 240mg/5ml(100ml)(UNITRIM),10 bottles,210030,Oct-21,2500,25000,5000
Susp Magnesium trisilicate 170ml/200ml,20,3022/10,23-Aug,1900,19000,3000
Susp Nystatin 100IU/ml-30ml,10,NC29918,23-Jul,2000,20000,3500
Susp Paracetamol 250mg(CETAMOL),30,210588,24-Feb,2600,78000,4000
Syrup Amoxicillin 125mg/5ml(100ml),30,77976,23-Oct,1700,51000,3500
Syrup Ampicillin/cloxacillin 125+125mg/5ml(100ml),20,2104098,24-Mar,2500,50000,5000
Syrup Apflu 5mls,10,CK05441E,23-Apr,3600,36000,5000
Syrup Apidone,3bots,205254,22-Oct,18000,54000,23000
Syrup Ascoril 100ml,10,TW21001,22-Jan,6300,63000,10000
Syrup Azithromycin 200mg/5ml15ml,20,54678,23-Jul,4300,86000,7000
Syrp Azithromycin (ZAHA),20,CK02510,23-Mar,4400,88000,7000
Syrup Bonnisan 120ml,5,E56789,23-Feb,10000,50000,13000
Gripewater,10,7698,23-Jul,4000,40000,6000
Syrup Ulgcid,3bots,21XUCS074,23-Jan,8000,16000,12000
syrup Rohisol,10 bottles,201723,23-Jul,2200,22000,3000
Syrup Albendazole,20bots,JHU3087,22-Dec,1700,34000,3000
Syrup Yeco Antiulcer,3,An5000pc,23-Apr,6000,18000,9000
Syrup Bro-Zedex 100ml,10,JVLF1037,23-Jun,4100,41000,6000
Syrup Cefalexin 125mg/5ml(100ml),10,BCY0121005,23-Oct,3000,30000,5000
Syrup Cetirizine 1mg/ml(100mls)(zyncet),20,M191928,22-Sep,4000,40000,6000
Syrup Co-amoxiclav 156.25mg/5ml(100ml),5,456789,23-Jul,8000,40000,12000
Syrup Kabuti,10 bottles,280621,22-Jun,2700,27000,4000
Syrup Flucamox ,5bottles,320513,23-Mar,16500,82500,22000
Syrup Erythromycin 125mg/5ml(100ml),10bots,2106101,23-Aug,3400,34000,5000
Syrup Grovit 100ml,10bots,3900166,23-Apr,4500,45000,7000
Syrup Co-mether,5 bottles,12001,24-Feb,4500,22500,6500
Syrup Multivitamin 60ml,5,345678,23-Feb,4000,20000,6000
Syrup Piritex codein,10bots,PC16221,24-Jan,4500,45000,7000
Syrup Piritex junior 60ml,10bots,PJ-13-12,24-Mar,3300,33000,5000
Syrup Promethazine 5mg/5ml60ml,10bots,L110033,23-Dec,2500,15000,4000
Syrup Quinine 100mg/5ml in 100ml,10bots,L03024,23-May,3000,15000,5000
Syrup Zedex 100ml,10bots,JVLF1031,22-Dec,4000,40000,6000
Tabs Aceclofenac 100mg,100tabs,ytre56789,23-Jun,115,11500,300
Tabs acyclovir 200mg,300tabs,WERT9876,23-Dec,633,57000,1000
Tabs Activated Charcoal 250mg,300tabs,67690,24-Dec,118,35400,200
Tabs Albendazole 400mg,20doses,9876,23-Oct,600,12000,1000
Tabs Brustan,50tabs,AB85604,23-Aug,350,17500,500
Tabs Aminophylline 100mg,200tabs,5565,23-Feb,40,8000,100
Tabs Amitriptyline 25mg,200tabs,Y6757,24-Feb,40,8000,100
Tabs Amlodipine 10mg,150tabs,r6578,23-Mar,500,75000,700
Tabs Amlodipine 5mg,150tabs,5468,23-Apr,273,41000,400
Tabs Amlodipine/Losartan 5mg/50mg, 30tabs,KTK7899,23-Jan,1270,38000,2000
Tabs Amlozaar-H 67.5mg,120tabs,7890,24-Dec,1567,235000,2500
Tabs Artemether/lumefantrine 120/20mg,20doses,5678,23-Dec,2700,54000,4000
Tabs Atenolol 100mg,100tabs,G000279,22-Dec,73,7300,100
Tabs Atenolol 50mg,30tabs,G100783,24-Feb,200,2000,500
tabs acyclovax,300,t5678,23-Jan,190,57000,300
Tabs Atorvastatin 20mg,30tabs,G101558,23-Feb,750,225-00,1000
Tabs Benzhexol 5mg,100tabs,196501,23-Oct,155,15500,250
Tabs Bisacodyl 5mg,500tabs,BR001,23-May,60,20000,100
Tabs Bisoprolol 10mg,2pkts,678890,23-Feb,339,19000,500
Tabs Metformin Denk 500mg,1pkt,0ATRYR89,23-Jul,250,25000,400
Tabs Bisoprolol 5mg,28tabs,4536,23-May,350,,500
Tabs Bromocriptine 2.5mg,1pkt,,23ER23,1400,14000,2000
Tabs Calcium lactate 300mg,300tabs,GT20482,23-Aug,85,25500,200
Tabs Captopril 25mg,200tabs,W3245,23-Aug,150,30000,250
Tabs Cardiac Aspirin(Ecorin) 75mg,300tabs,4007908,22-Oct,100,30000,200
Tabs Carvedilol 12.5mg,5pkts,789098,23-Oct,583,87500,800
Tabs Carvedilol 6.25mg,2pkt,98756,24-Dec,950,57000,1200
Tabs Cefuroxime 500mg,10caps,56789,23-Dec,1100,22000,2000
Tabs Cetirizine 10mg,500 tabs,D21920001,23-Sep,25,12500,100
Tabs Chlorpheniramine 4mg, 500 tabs,T04023,23-May,20,10000,50
Tabs Ciprofloxacin 500mg,500tabs,T0375,23-Sep,100,50000,200
Tabs Clarithromycin 500mg,50tabs,W3245,23-Jul,1300,65000,2000
Tabs Clomiphene citrate 50mg,20tabs,78987,23-Mar,1000,20000,2000
Tabs Clopidogrel 75mg (ClopiDenk),3pkts,TYJ789,24-Jun,567,17000,1000
Tabs Coartem 15-25kg,2,98765,23-Apr,800,1600,2000
Tabs Coartem 25-35kg,10doses,4RY778,22-Oct,3000,15000,4500
Tabs Cotrimoxazole 480mg,1000,56789,24-Jun,43,43000,100
Tabs Cotrimoxazole 960mg,100tabs,5678,23-May,100,10000,200
Tabs Diazepam 5mg, 100tabs,472589,23-Oct,61,6100,150
Tabs Diclofenac 50mg,50strips,2636,24-Apr,15,7500,50
Tabs Digoxin 250mcg,200tabs,U675,24-Apr,68,13600,100
Duocotexin,10doses,210129,23-Jan,11300,113000,15000
P-ALAXIN  Adult,10doses,6789,23-Feb,10000,100000,15000
Tabs Domperidone 10mg,100 tabs,8765,23-Aug,220,22000,400
Tabs Esomeprazole 40mg, 30tabs,67QA90-,23-Jun,675,20250,1000
Tabs Ferrous fumarate/folic acid 150mg/0.5mg,50strips,56789,23-Jan,300,15000,500
Tabs Ferrous sulphate ,50strips,466735,23-Feb,300,15000,500
Tabs Folic acid 5mg,300 tabs,,,20,6000,50
Tabs Furosemide 40mg,300tabs,3000,23-Feb,32,9600,100
Tabs Glibenclamide 5mg,300tabs,5467,24-Jun,57,38000,100
Tabs Glimepiride 4mg,180,454FGF7,23-May,211,38000,300
Tabs Griseofulvin 500mg,300tabs,6575,23-May,200,60000,300
Tabs Ibuprofen 200mg,50strips,2543,24-May,28,14000,50
Tabs Ketoconazole 200mg,500tabs,T20457,23-Oct,110,55000,300
Pylo  kit Adult,14kits,Q4353,23-Jul,3900,54600,6000
Tabs Levocetirizine 5mg,100tabs,57466,22-Dec,87,8700,200
Tabs Levofloxacin 500mg,20tabs,2F567,23-May,300,6000,1000
Tabs Lisinopril(Dapril) 10mg,1pkts,I890987,23-Jul,510,15300,800
Tabs Losacar-H (50mg/12.5mg),60tabs,G100832,24-Jan,450,27000,700
Tabs Losartan 50mg,200tabs,HJKH678,23-Feb,370,74000,500
Tabs Magnesium trisilicate,500tabs,2469,24-Mar,25,12500,100
Tabs Mebendazole 100mg,500tabs,421,24-Mar,30,15000,100
caps Mefenamic acid 250mg,200tabs,T21145,24-Feb,160,32000,400
Tabs Metformin 500mg,300,,,35,10500,100
Tabs Methyldopa 250mg, 100tabs,F5654,24-Feb,200,20000,300
Tabs Metronidazole 200mg(metrogyl),500tabs,AMS20010,25-Apr,30,16500,100
Breathzyl-L 10mg, 30tabs,ER56789,24-Jan,840,25200,1300
Tabs vit C,1000tabs,2921,23-Jan,45,45000,100
Tabs Multivitamin,200tabs,56789,22-Dec,40,8000,100
Tabs Nitrofurantoin 100mg,200tabs,56789,23-Aug,40,8000,100
Tabs Nystatin 500.IU,200tabs,865678,23-Sep,272,27200,500
Tabs Ornilox,20tabs,56789,23-Jun,2750,55000,3500
Tabs Osteoflex,30tabs,890,24-Jul,2066,62000,3000
Tabs Paracetamol 500mg,1000 tabs,32621,24-Apr,27,27000,50
Tabs Prednisolone 5mg, 500 tabs,y567,23-Jul,27,13500,100
Tabs Propranolol 40mg (hyper),200tabs,5625,23-May,43,8600,100
Tabs Quinine 300mg, 100tabs,T02034,23-Feb,170,17000,300
Tabs Rosuvastatin 10mg, 30tabs,4356,22-Dec,593,17700,1000
Tabs Salbutamol 4mg,10strips,U7575,23-Jun,20,2000,50
Tabs Sodium Valproate 200mg,1pkt,23456,23-Feb,660,66000,800
Tabs Spironolactone 25mg, 100tabs,5323,24-Jan,290,29000,500
Tabs Sulfadoxine/pyrimethamine(Fansidar) 500mg/25mg, 100tabs,98876W,22-Sep,215,21500,500
Tabs Telmisartan 40mg,100tabs,E5467,23-Sep,248,24800,500
Tabs Telmisartan-H 40/12.5mg,1pkt,87976,23-Aug,520,52000,800
Tabs Tinidazole,100tabs,A7899,23-Apr,85,8500,500 per tab
Tabs Terbinafine 250mg(Fungisafe),7tabs,6589,23-Jan,2786,19500,3500
Tabs Tramadol 50mg,200caps,,,95,19000,300
Tabs Vitamin B complex,30strips,45678,24-Feb,17,5100,50
Tabs Duphastone 10mg,1pkt,876567,23-Jan,700,14000,1500
caps vitamin A,60cap,456789,23-Jul,423,25400,1000
syr centipar,10 bottles,7543,23-Apr,2500,25000,4000
Tabs Paracetamol 1g (PA-12),120tabs,C45467,24-Jul,348,41700,500
Tabs Zinc sulphate 20mg,500tabs  ,Nt10048,24-Jan,55,27500,150
Tabs Toractin,200tabs,16500,23-Feb,60,12000,100
syrp Toractin,3syr,987,23-Dec,3600,10800,5500
antinol syr,4bots,765434,24-Oct,9500,28500,15000
ORS (orange flavour),25 each,G676554,22-Mar,280,7000,500
Oral zinc syr,5bots,OZ06,23-May,2000,10000,3000
KY Jelly,5tubes,46799,24-Jun,5000,25000,8000
Eno,48sac,5657,23-May,342,16400,500
tabs Gestid,3pkt,WQ345,24-Mar,290,17400,500
Caps Ferroton ,200tabs,132635,23-Feb,140,28000,300
Mama kit,3,9876578,26-Dec,10500,31500,15000
Metro syrup,20 bottles,LO3030,23-May,2300,46000,4000
Dextrose 50%I.V, 10 bottles,Y685930,23-May,3000,30000,5000
Relcer Big, 4bots,Y758,24-Jan,7300,29200,11000
Piritex Baby ,5bots,Nk099,22-Dec,2700,13500,5000
Ampiclox inj,10avials,FR08696,23-Jul,1500,15000,3000
Hydrocortisone inj,10vials,KL987778,24-Jan,1500,15000,3000
Zepar tabs,10doses,W4327,24-Aug,2500,25000,5000
Dexona tabs,200tabs,K94676,23-Sep,25,5000,100
Phenytoin tabs,300tabs,M9673,24-Jan,120,36000,200
Piroxicam,200caps,H6578,23-Feb,38,7600,100
Nifedipine 10mg,100tabs,Z3658,23-Dec,145,14500,200
Nifedipine 20mg,100tabs,C56478,23-Aug,170,17000,300
Chlopromazine 100mg,300tabs,8976,24-Feb,180,54000,300
Calcium gluconate inj,10vials,97457A,23-Dec,10000,100000,15000
Magnesium sulphate inj,10vials,8Y676,23-Sep,10000,100000,15000
Ventolin Nebulisers,12nebs,POk7845,24-Feb,6500,78000,10000
Carbamazepine 200mg,200tabs,9834,24-Aug,120,24000,200
Cefixime syr,5bots,5754367,23-Sep,8000,40000,12000
Promethazine 25mg,300tabs,76780,23-Aug,30,9000,50
